App,Updated,Size,Installs,Current Version,Requires Android,Content Rating,Interactive Elements,In-app Products,Permissions,Report,Offered By,Developer,Eligible for Family Library
Offroad Outlaws,"March 8, 2020",111M,"5,000,000+",3.8.4,4.1 and up,Everyone,"Users Interact, In-Game Purchases",$1.99 - $99.99 per item,View details,Flag as inappropriate,Battle Creek Games,Visit website,
Grim Soul: Dark Fantasy Survival,"March 24, 2020",117M,"10,000,000+",2.7.0,4.1 and up,Teen,Digital Purchases,$0.99 - $124.99 per item,View details,Flag as inappropriate,Kefir!,Visit website,
DRAGON BALL LEGENDS,"April 8, 2020",89M,"10,000,000+",2.7.0,6.0 and up,Teen,Digital Purchases,$0.99 - $79.99 per item,View details,Flag as inappropriate,BANDAI NAMCO Entertainment Inc.,Visit website,
Disney Heroes: Battle Mode,"April 4, 2020",Varies with device,"10,000,000+",1.17.02,Varies with device,Everyone 10+,"Users Interact, Digital Purchases",$0.99 - $99.99 per item,View details,Flag as inappropriate,PerBlue Entertainment,Visit website,
Homescapes,"April 2, 2020",154M,"100,000,000+",3.5.2,4.2 and up,Everyone,"Users Interact, Digital Purchases",$0.99 - $99.99 per item,View details,Flag as inappropriate,Playrix,Visit website,
Word Crossy - A crossword game,"March 16, 2020",82M,"5,000,000+",2.3.7,4.1 and up,Everyone,Digital Purchases,$0.99 - $99.99 per item,View details,Flag as inappropriate,Betta Games,Visit website,
Hero Hunters,"March 17, 2020",98M,"10,000,000+",3.1,4.4 and up,Teen,"Users Interact, In-Game Purchases",$0.99 - $99.99 per item,View details,Flag as inappropriate,Hothead Games,Visit website,
Cooking Madness - A Chef's Restaurant Games,"April 3, 2020",70M,"50,000,000+",1.6.3,4.1 and up,Teen,,$0.99 - $99.99 per item,View details,Flag as inappropriate,Girl Games - Cooking Games,Visit website,
Merge Dragons!,"March 26, 2020",120M,"10,000,000+",4.9.0,4.1 and up,Everyone,Digital Purchases,$0.99 - $99.99 per item,View details,Flag as inappropriate,Gram Games Limited,Visit website,
RULES OF SURVIVAL,"April 9, 2020",97M,"50,000,000+",1.367197.393402,4.1 and up,Teen,"Users Interact, Digital Purchases",$0.99 - $99.99 per item,View details,Flag as inappropriate,NetEase Games,Visit website,
Mafia City,"April 10, 2020",76M,"50,000,000+",1.3.925,4.1 and up,Mature 17+,"Users Interact, In-Game Purchases",$0.99 - $99.99 per item,View details,Flag as inappropriate,YottaGames,mafia@yottagames.com,
"Cash, Inc. Money Clicker Game & Business Adventure","April 9, 2020",80M,"10,000,000+",2.3.10.1.1,4.4 and up,Teen,Digital Purchases,$0.99 - $54.99 per item,View details,Flag as inappropriate,Lion Studios,Visit website,
Dino War: Rise of Beasts,"December 5, 2018",83M,"1,000,000+",2.1.0,4.1 and up,Teen,"Users Interact, Digital Purchases",$0.99 - $99.99 per item,View details,Flag as inappropriate,KingsGroup Holdings,contact_dw@funplus.com,
Tokyo Ghoul: Dark War,"February 27, 2020",49M,"1,000,000+",1.2.13,4.3 and up,Teen,"Users Interact, Digital Purchases",$0.99 - $99.99 per item,View details,Flag as inappropriate,GameSamba,Visit website,
Last Shelter: Survival,"April 9, 2020",Varies with device,"10,000,000+",1.250.173,4.0.3 and up,Teen,"Users Interact, In-Game Purchases",$0.99 - $179.99 per item,View details,Flag as inappropriate,Long Tech Network Limited,Visit website,
Lineage 2: Revolution,"April 3, 2020",Varies with device,"5,000,000+",1.19.16,4.4 and up,Teen,"Users Interact, Digital Purchases",$0.99 - $99.99 per item,View details,Flag as inappropriate,Netmarble,Visit website,
Final Fantasy XV: A New Empire,"December 24, 2019",Varies with device,"10,000,000+",5.0.12.120,Varies with device,Everyone 10+,"Users Interact, Digital Purchases",$0.99 - $399.99 per item,View details,Flag as inappropriate,Epic Action LLC,Visit website,
Girls' Frontline,"February 25, 2020",64M,"1,000,000+",2.0414_333,4.1 and up,Teen,"Users Interact, Digital Purchases",$0.99 - $99.99 per item,View details,Flag as inappropriate,"Darkwinter Software Co., Ltd.",Visit website,
Chapters: Interactive Stories,"March 26, 2020",100M,"5,000,000+",1.7.1,4.1 and up,Mature 17+,,$0.99 - $99.99 per item,View details,Flag as inappropriate,Crazy Maple Studio Dev,Visit website,
Honkai Impact 3rd,"March 26, 2020",69M,"1,000,000+",3.8.0,5.0 and up,Teen,"Users Interact, Digital Purchases",$0.99 - $99.99 per item,View details,Flag as inappropriate,miHoYo Limited,Visit website,
Clue,"March 20, 2020",44M,"500,000+",2.6.5,5.0 and up,Everyone 10+,In-Game Purchases,$0.99 - $34.99 per item,View details,Flag as inappropriate,Marmalade Game Studio,Visit website,
The Room: Old Sins,"April 18, 2018",48M,"100,000+",1.0.1,4.4 and up,Everyone,,,View details,Flag as inappropriate,Fireproof Games,Visit website,
Farming Simulator 18,"March 17, 2019",Varies with device,"500,000+",Varies with device,4.4 and up,Everyone,In-Game Purchases,$0.99 - $2.99 per item,View details,Flag as inappropriate,GIANTS Software,Visit website,
RollerCoaster Tycoon® Classic,"March 7, 2019",65M,"50,000+",1.0.0.1903060,4.0.3 and up,Everyone,In-Game Purchases,$1.99 - $5.99 per item,View details,Flag as inappropriate,"Atari, Inc.",Visit website,
Call of Duty:Black Ops Zombies,"December 20, 2016",46M,"100,000+",1.0.11,2.3.3 and up,Teen,Digital Purchases,$0.99 - $49.99 per item,View details,Flag as inappropriate,"Activision Publishing, Inc.",Visit website,
Monument Valley 2,"January 23, 2020",60M,"1,000,000+",1.3.15,4.4 and up,Everyone,,,View details,Flag as inappropriate,ustwo games,Visit website,
Angry Birds 2,"April 6, 2020",65M,"100,000,000+",2.40.0,4.1 and up,Everyone,Digital Purchases,$0.99 - $99.99 per item,View details,Flag as inappropriate,Rovio Entertainment Corporation,Visit website,
Fallout Shelter,"January 13, 2020",38M,"10,000,000+",1.13.25,4.1 and up,Teen,Digital Purchases,$0.99 - $49.99 per item,View details,Flag as inappropriate,Bethesda Softworks LLC,Visit website,
The Sims™ FreePlay,"March 9, 2020",34M,"10,000,000+",5.52.0,4.1 and up,Teen,"Users Interact, Digital Purchases",$0.99 - $99.99 per item,View details,Flag as inappropriate,ELECTRONIC ARTS,Visit website,
Best Fiends - Free Puzzle Game,"April 9, 2020",123M,"10,000,000+",7.9.0,Varies with device,Everyone,Digital Purchases,$0.99 - $99.99 per item,View details,Flag as inappropriate,Seriously Digital Entertainment Ltd.,Visit website,
Choices: Stories You Play,"March 9, 2020",83M,"10,000,000+",2.6.9,4.1 and up,Teen,Digital Purchases,$1.99 - $99.99 per item,View details,Flag as inappropriate,Pixelberry,Visit website,
Solitaire TriPeaks,"May 7, 2019",39M,"10,000+",1.7,4.1 and up,Teen,In-Game Purchases,$0.99 - $99.99 per item,View details,Flag as inappropriate,Bricks Puzzle Inc,jessica8899candy@gmail.com,
The Walking Dead: Road to Survival,"March 26, 2020",25M,"10,000,000+",22.6.0.83670,4.4 and up,Mature 17+,"Users Interact, Digital Purchases",$0.99 - $299.99 per item,View details,Flag as inappropriate,Scopely,Visit website,
Game of Thrones: Conquest™,"March 9, 2020",56M,"10,000,000+",3.3.258630,6.0 and up,Teen,"Users Interact, Digital Purchases",$0.99 - $99.99 per item,View details,Flag as inappropriate,Warner Bros. International Enterprises,Visit website,
Love Nikki-Dress UP Queen,"March 20, 2020",95M,"10,000,000+",5.8.0,4.0.3 and up,Everyone,Digital Purchases,$0.99 - $99.99 per item,View details,Flag as inappropriate,Elex,Visit website,
Summoners War,"March 27, 2020",80M,"50,000,000+",5.3.0,4.1 and up,Teen,"Users Interact, Digital Purchases",$0.99 - $99.99 per item,View details,Flag as inappropriate,Com2uS,Visit website,
Idle Heroes,"February 27, 2020",140M,"10,000,000+",1.21.0,4.3 and up,Everyone 10+,"Users Interact, In-Game Purchases",$0.99 - $99.99 per item,View details,Flag as inappropriate,DHGAMES,ihcs@droidhang.com,
Fate/Grand Order (English),"March 31, 2020",44M,"1,000,000+",1.42.0,4.0.3 and up,Teen,Digital Purchases,$0.99 - $79.99 per item,View details,Flag as inappropriate,Aniplex Inc.,Visit website,
War and Order,"April 9, 2020",37M,"10,000,000+",1.3.19,4.1 and up,Teen,"Users Interact, Digital Purchases",$0.99 - $399.99 per item,View details,Flag as inappropriate,"Camel Games, Inc",Visit website,
Dungeon Hunter Champions: Epic Online Action RPG,"January 27, 2020",Varies with device,"1,000,000+",1.8.17,4.4 and up,Teen,"Users Interact, In-Game Purchases",$0.99 - $199.99 per item,View details,Flag as inappropriate,Gameloft SE,Visit website,
Jewels Star: OZ adventure,"January 16, 2020",25M,"10,000,000+",2.7,4.0.3 and up,Everyone,,,View details,Flag as inappropriate,Great Puzzle Game,lizhu9918@gmail.com,
Sweet Fruit Candy,"November 6, 2019",33M,"50,000,000+",85.0,4.1 and up,Everyone,,,View details,Flag as inappropriate,Juice Candy,Visit website,
Shoot Bubble - Fruit Splash,"March 13, 2020",30M,"10,000,000+",40.0,4.0.3 and up,Everyone,,,View details,Flag as inappropriate,4 GAME STUDIO,Visit website,
Doodle Jump,"July 31, 2019",Varies with device,"50,000,000+",Varies with device,Varies with device,Everyone,Digital Purchases,$0.99 - $9.99 per item,View details,Flag as inappropriate,Lima Sky LLC,Visit website,
Crossy Road,"February 27, 2020",75M,"100,000,000+",4.3.18,4.4 and up,Everyone,Digital Purchases,$0.99 - $29.99 per item,View details,Flag as inappropriate,HIPSTER WHALE,Visit website,
Swamp Attack,"June 29, 2018",70M,"100,000,000+",3.0.1,4.1 and up,Everyone 10+,Digital Purchases,$0.99 - $99.99 per item,View details,Flag as inappropriate,Outfit7 Limited,Visit website,
Earn to Die 2,"January 3, 2020",75M,"50,000,000+",1.4.18,4.1 and up,Teen,In-Game Purchases,$0.99 - $5.99 per item,View details,Flag as inappropriate,Not Doppler,Visit website,
Hungry Shark World,"March 12, 2020",108M,"50,000,000+",3.8.0,5.0 and up,Teen,In-Game Purchases,$0.99 - $99.99 per item,View details,Flag as inappropriate,Ubisoft Entertainment,Visit website,
Dude Perfect 2,"January 30, 2019",70M,"10,000,000+",1.6.2,4.1 and up,Everyone,Digital Purchases,$0.99 - $29.99 per item,View details,Flag as inappropriate,Miniclip.com,Visit website,
Shadow Fight 2,"February 20, 2020",141M,"100,000,000+",2.4.1,4.1 and up,Everyone 10+,"Users Interact, Digital Purchases",$0.99 - $49.99 per item,View details,Flag as inappropriate,NEKKI,Visit website,
Alto's Adventure,"February 5, 2020",55M,"10,000,000+",1.7.4,4.1 and up,Everyone,Digital Purchases,$0.99 - $9.99 per item,View details,Flag as inappropriate,Noodlecake Studios Inc,Visit website,
Anger of stick 5 : zombie,"February 18, 2020",32M,"100,000,000+",1.1.8,4.1 and up,Teen,Digital Purchases,$0.99 - $104.99 per item,View details,Flag as inappropriate,J-PARK,Visit website,
CATS: Crash Arena Turbo Stars,"April 2, 2020",84M,"50,000,000+",2.25.1,4.1 and up,Everyone,Digital Purchases,$0.99 - $99.99 per item,View details,Flag as inappropriate,ZeptoLab,Visit website,
Soul Knight,"April 10, 2020",100M,"10,000,000+",2.6.1,4.1 and up,Everyone 10+,In-Game Purchases,$0.99 - $4.99 per item,View details,Flag as inappropriate,ChillyRoom,info@chillyroom.com,
Major Mayhem,"December 18, 2019",41M,"10,000,000+",9,4.1 and up,Teen,Digital Purchases,$0.99 - $39.99 per item,View details,Flag as inappropriate,[adult swim] games,Visit website,
DINO HUNTER: DEADLY SHORES,"September 4, 2019",81M,"50,000,000+",3.5.9,4.1 and up,Teen,In-Game Purchases,$0.99 - $123.00 per item,View details,Flag as inappropriate,Glu,Visit website,
Agar.io,"April 6, 2020",39M,"100,000,000+",2.8.2,4.4 and up,Everyone,,$0.99 - $99.99 per item,View details,Flag as inappropriate,Miniclip.com,Visit website,
Battlelands Royale,"March 19, 2020",109M,"10,000,000+",2.5.2,4.1 and up,Everyone 10+,Digital Purchases,$1.99 - $94.99 per item,View details,Flag as inappropriate,Futureplay,Visit website,
Once Upon a Tower,"February 10, 2020",31M,"5,000,000+",22,5.0 and up,Everyone,In-Game Purchases,$0.99 - $99.99 per item,View details,Flag as inappropriate,Pomelo Games,Visit website,
diep.io,"November 4, 2019",19M,"10,000,000+",1.2.12,4.1 and up,Everyone,,,View details,Flag as inappropriate,Miniclip.com,Visit website,
BEYBLADE BURST app,"March 16, 2020",Varies with device,"10,000,000+",Varies with device,Varies with device,Everyone,,,View details,Flag as inappropriate,Hasbro Inc.,Visit website,
Dragon Hills,"February 7, 2020",80M,"10,000,000+",1.3.2,4.1 and up,Everyone 10+,Digital Purchases,$1.62 - $15.14 per item,View details,Flag as inappropriate,Rebel Twins,Visit website,
Tiny Archers,"January 30, 2020",Varies with device,"10,000,000+",Varies with device,Varies with device,Mature 17+,Digital Purchases,$0.99 - $36.99 per item,View details,Flag as inappropriate,1DER Entertainment,Visit website,
Metal Soldiers 2,"April 8, 2020",72M,"50,000,000+",2.53,4.1 and up,Teen,"Shares Location, Digital Purchases",$0.99 - $49.99 per item,View details,Flag as inappropriate,Play365,Visit website,
Dinosaur Simulator: Dino World,"November 13, 2019",81M,"10,000,000+",1.4.2,4.2 and up,Teen,,$0.99 - $94.99 per item,View details,Flag as inappropriate,HGames-ArtWorks,Visit website,
GUNSHIP BATTLE: Helicopter 3D,"March 3, 2020",Varies with device,"50,000,000+",Varies with device,4.0.3 and up,Teen,In-Game Purchases,$0.99 - $99.99 per item,View details,Flag as inappropriate,JOYCITY Corp.,Visit website,
Quiz: Logo game,"January 20, 2020",31M,"10,000,000+",9.2,4.1 and up,Everyone,,,View details,Flag as inappropriate,Lemmings at work,Visit website,
Jewels Legend - Match 3 Puzzle,"March 23, 2020",70M,"10,000,000+",2.27.1,4.1 and up,Everyone,In-Game Purchases,$0.99 - $99.99 per item,View details,Flag as inappropriate,LinkDesks - Jewel Games,Visit website,
Bubble Shooter Genies,"April 10, 2020",48M,"10,000,000+",1.27.2,4.1 and up,Everyone,Digital Purchases,$0.99 - $99.99 per item,View details,Flag as inappropriate,PUZZLEJOY,bubblegenies@puzzlejoy.com,
Blossom Blast Saga,"April 8, 2020",88M,"50,000,000+",80.0.2,4.1 and up,Everyone,Digital Purchases,$0.99 - $79.99 per item,View details,Flag as inappropriate,King,Visit website,
Candy Bomb,"October 31, 2019",23M,"10,000,000+",7.5.3993,4.1 and up,Everyone,,$0.99 - $99.99 per item,View details,Flag as inappropriate,Cosmo Game,Visit website,
Gems or jewels ?,"April 6, 2020",15M,"10,000,000+",1.0.199,4.1 and up,Teen,Digital Purchases,$0.99 - $9.99 per item,View details,Flag as inappropriate,Time for awesome game,Visit website,
Power Pop Bubbles,"April 6, 2020",24M,"10,000,000+",6.0.10,4.1 and up,Everyone,Digital Purchases,$0.99 - $104.99 per item,View details,Flag as inappropriate,Bubble Shooter Artworks,Visit website,
Fruit Block - Puzzle Legend,"November 8, 2019",46M,"10,000,000+",79,4.0.3 and up,Everyone,,,View details,Flag as inappropriate,Legend Game Inc.,Visit website,
Bubble Shooter Space,"February 27, 2020",Varies with device,"10,000,000+",2.4,4.1 and up,Everyone,,$0.99 - $104.99 per item,View details,Flag as inappropriate,Bubble Shooter,Visit website,
1LINE – One Line with One Touch,"April 3, 2020",14M,"10,000,000+",2.2.14,4.1 and up,Everyone,In-Game Purchases,$0.99 - $3.99 per item,View details,Flag as inappropriate,X-Flow,Visit website,
Stick War: Legacy,"April 12, 2020",81M,"50,000,000+",1.11.160,4.1 and up,Teen,Digital Purchases,$2.49 - $139.99 per item,View details,Flag as inappropriate,Max Games Studios,Visit website,
Super Jabber Jump 3,"February 20, 2020",18M,"10,000,000+",5.1.5002,4.1 and up,Everyone 10+,Digital Purchases,$0.99 - $9.99 per item,View details,Flag as inappropriate,gameone,Visit website,
Rush,"February 14, 2018",51M,"10,000,000+",1.1,4.0 and up,Everyone,,$1.99 per item,View details,Flag as inappropriate,Ketchapp,Visit website,
Jetpack Joyride,"April 9, 2020",108M,"100,000,000+",1.26.2,4.4 and up,Everyone 10+,Digital Purchases,$0.99 - $119.99 per item,View details,Flag as inappropriate,Halfbrick Studios,Visit website,
Racing in Car 2,"October 26, 2019",Varies with device,"100,000,000+",1.2,Varies with device,Everyone,Digital Purchases,$1.99 - $9.99 per item,View details,Flag as inappropriate,Fast Free Games,Visit website,
Dog Run - Pet Dog Simulator,"March 25, 2020",29M,"50,000,000+",1.7.7,4.1 and up,Everyone,Digital Purchases,$1.49 - $99.99 per item,View details,Flag as inappropriate,Green Tea Games,Visit website,
Coloring & Learn,"March 24, 2020",52M,"10,000,000+",1.112,4.1 and up,Everyone,,$3.49 per item,View details,Flag as inappropriate,Orange Studios Games,Visit website,
Mahjong,"January 13, 2020",10M,"5,000,000+",1.2.3,2.3 and up,Everyone,Digital Purchases,,View details,Flag as inappropriate,CanaryDroid,Visit website,
Toy Pop Cubes,"January 14, 2018",26M,"10,000+",1.0001,2.3 and up,Everyone,Digital Purchases,$0.99 - $99.99 per item,View details,Flag as inappropriate,match games blast,matchgamesblast@gmail.com,
Educational Games 4 Kids,"February 18, 2020",29M,"10,000,000+",2.6,4.4 and up,Everyone,,,View details,Flag as inappropriate,pescAPPs,Visit website,
Candy Pop Story,"February 20, 2020",38M,"1,000,000+",3.0.5002,4.1 and up,Everyone,,,View details,Flag as inappropriate,Gamoper,Visit website,
Candy Smash,"October 31, 2019",20M,"5,000,000+",4.6,4.1 and up,Everyone,,,View details,Flag as inappropriate,TINY WINGS,Visit website,
Happy Fruits Bomb - Cube Blast,"February 22, 2020",24M,"1,000,000+",2.5.5002,4.1 and up,Everyone,,,View details,Flag as inappropriate,Crazybuzz,Visit website,
Princess Adventures Puzzles,"August 30, 2018",44M,"1,000,000+",1.1.3,2.3 and up,Everyone,,$2.01 - $2.99 per item,View details,Flag as inappropriate,kideo (formarly forqan smart tech),Visit website,
Kids Educational Game 3 Free,"March 2, 2020",27M,"10,000,000+",3.4,4.4 and up,Everyone,,,View details,Flag as inappropriate,pescAPPs,Visit website,
Puzzle Kids - Animals Shapes and Jigsaw Puzzles,"February 20, 2020",59M,"5,000,000+",1.3.2,4.1 and up,Everyone,,,View details,Flag as inappropriate,RV AppStudios,Visit website,
Baby Panda Care,"March 23, 2020",55M,"10,000,000+",8.39.00.08,4.2 and up,Everyone,,$0.99 per item,View details,Flag as inappropriate,BabyBus,Visit website,
Toca Kitchen 2,"June 29, 2017",56M,"100,000,000+",1.2.3-play,4.1 and up,Everyone,,,View details,Flag as inappropriate,Toca Boca,Visit website,
Learn To Draw Glow Flower,"March 31, 2020",11M,"5,000,000+",1.0.15,4.1 and up,Everyone,Digital Purchases,$1.99 per item,View details,Flag as inappropriate,ColorJoy,eyewind.org@hotmail.com,
Draw.ly - Color by Number Pixel Art Coloring,"March 31, 2020",Varies with device,"5,000,000+",Varies with device,Varies with device,Everyone,Digital Purchases,$1.49 - $59.99 per item,View details,Flag as inappropriate,Color Apps For Free,color.app.feedback@hotmail.com,
